# Generated by MIB Walker
# Version 10.10.201
# 28/12/2017 04:49:49 p.m.
#
# MIB Walk of 10.12.13.2
MIB	OID	Name	Type	Value
IF-MIB	1.3.6.1.2.1.2.2.1.16.9	ifOutOctets.9	Counter32	100256263
IF-MIB	1.3.6.1.2.1.2.2.1.16.10	ifOutOctets.10	Counter32	379219809
IF-MIB	1.3.6.1.2.1.2.2.1.16.11	ifOutOctets.11	Counter32	199555414
IF-MIB	1.3.6.1.2.1.2.2.1.16.12	ifOutOctets.12	Counter32	659076282
IF-MIB	1.3.6.1.2.1.2.2.1.16.13	ifOutOctets.13	Counter32	3073866643
IF-MIB	1.3.6.1.2.1.2.2.1.16.14	ifOutOctets.14	Counter32	1277123917
IF-MIB	1.3.6.1.2.1.2.2.1.16.15	ifOutOctets.15	Counter32	2105901732
IF-MIB	1.3.6.1.2.1.2.2.1.16.16	ifOutOctets.16	Counter32	2961053959
IF-MIB	1.3.6.1.2.1.2.2.1.17.1	ifOutUcastPkts.1	Counter32	2662757012
IF-MIB	1.3.6.1.2.1.2.2.1.17.2	ifOutUcastPkts.2	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.17.3	ifOutUcastPkts.3	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.17.4	ifOutUcastPkts.4	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.17.5	ifOutUcastPkts.5	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.17.6	ifOutUcastPkts.6	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.17.7	ifOutUcastPkts.7	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.17.8	ifOutUcastPkts.8	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.17.9	ifOutUcastPkts.9	Counter32	508652890
IF-MIB	1.3.6.1.2.1.2.2.1.17.10	ifOutUcastPkts.10	Counter32	79131686
IF-MIB	1.3.6.1.2.1.2.2.1.17.11	ifOutUcastPkts.11	Counter32	1033381142
IF-MIB	1.3.6.1.2.1.2.2.1.17.12	ifOutUcastPkts.12	Counter32	7676962
IF-MIB	1.3.6.1.2.1.2.2.1.17.13	ifOutUcastPkts.13	Counter32	806540600
IF-MIB	1.3.6.1.2.1.2.2.1.17.14	ifOutUcastPkts.14	Counter32	329224057
IF-MIB	1.3.6.1.2.1.2.2.1.17.15	ifOutUcastPkts.15	Counter32	1624110625
IF-MIB	1.3.6.1.2.1.2.2.1.17.16	ifOutUcastPkts.16	Counter32	1066446701
